0,relative distance,0,50,17
1,relative distance,0,50,31
2,relative distance,0,50,43
3,relative distance,0,50,54
4,relative distance,0,50,63
5,relative distance,0,50,71
6,relative distance,0,50,80
7,relative distance,0,50,91
8,relative distance,0,50,96
9,relative distance,0,50,110
10,relative distance,0,50,119
11,relative distance,0,50,130
12,relative distance,0,50,137
13,relative distance,0,50,149
14,relative distance,0,50,157
15,relative distance,0,50,169
16,relative distance,0,50,180
17,relative distance,0,50,190
18,relative distance,0,50,204
19,relative distance,0,50,206
20,relative distance,0,50,219
21,relative distance,0,50,229
22,relative distance,0,50,239
23,relative distance,0,50,252
